L4 | Wed Apr 25 16:27:41 2018 (683 ms) | general | exiting: Deleting sceneHandler
L4 | Sun Apr 29 15:19:31 2018 (66 ms) | general | exiting: Deleting sceneHandler

L4 | Sun Apr 29 15:19:31 2018 (67 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun Apr 29 15:19:31 2018 (114 ms) | general | Freeing sound sprites

L4 | Sun Apr 29 15:19:31 2018 (114 ms) | general | exiting: freeing frameDrawer

L4 | Sun Apr 29 15:19:31 2018 (297 ms) | general | exiting: Deleting screen

L4 | Sun Apr 29 15:19:31 2018 (298 ms) | general | exiting: freeing drawString

L4 | Sun Apr 29 15:19:31 2018 (302 ms) | general | exiting: calling SDL_Quit()

L4 | Sun Apr 29 15:19:31 2018 (352 ms) | general | exiting: Done.

L4 | Sun Apr 29 15:20:19 2018 (476 ms) | general | New game starting up
L4 | Sun Apr 29 15:20:19 2018 (477 ms) | general | Target game image size:  1280x720

L4 | Sun Apr 29 15:20:19 2018 (478 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Apr 29 15:20:19 2018 (478 ms) | general | Trying to start in window mode.
L4 | Sun Apr 29 15:20:19 2018 (479 ms) | general | Want to use largest window that fits on screen.
L4 | Sun Apr 29 15:20:19 2018 (479 ms) | general | Largest-window mode would offer a <25width increase, using requested window size instead.
L4 | Sun Apr 29 15:20:19 2018 (479 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Sun Apr 29 15:20:19 2018 (480 ms) | general | The following frame rates are considered possible:
L4 | Sun Apr 29 15:20:19 2018 (480 ms) | general | 30 fps
L4 | Sun Apr 29 15:20:19 2018 (480 ms) | general | 60 fps
L4 | Sun Apr 29 15:20:19 2018 (480 ms) | general | 120 fps
L4 | Sun Apr 29 15:20:19 2018 (480 ms) | general | 144 fps
L4 | Sun Apr 29 15:20:19 2018 (486 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sun Apr 29 15:20:19 2018 (486 ms) | general | All resolutions available
L4 | Sun Apr 29 15:20:19 2018 (718 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Sun Apr 29 15:20:20 2018 (26 ms) | general | Recording game into file recordedGames/recordedGame00023.txt
L4 | Sun Apr 29 15:23:22 2018 (76 ms) | general | exiting...

L4 | Sun Apr 29 15:23:22 2018 (77 ms) | general | exiting: Deleting sceneHandler

L4 | Sun Apr 29 15:23:22 2018 (78 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun Apr 29 15:23:22 2018 (126 ms) | general | Freeing sound sprites

L4 | Sun Apr 29 15:23:22 2018 (126 ms) | general | exiting: freeing frameDrawer

L4 | Sun Apr 29 15:23:22 2018 (359 ms) | general | exiting: Deleting screen

L4 | Sun Apr 29 15:23:22 2018 (360 ms) | general | exiting: freeing drawString

L4 | Sun Apr 29 15:23:22 2018 (367 ms) | general | exiting: calling SDL_Quit()

L4 | Sun Apr 29 15:23:22 2018 (412 ms) | general | exiting: Done.

L4 | Sun Apr 29 15:23:42 2018 (697 ms) | general | New game starting up
L4 | Sun Apr 29 15:23:42 2018 (698 ms) | general | Target game image size:  1280x720

L4 | Sun Apr 29 15:23:42 2018 (699 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Apr 29 15:23:42 2018 (699 ms) | general | Trying to start in window mode.
L4 | Sun Apr 29 15:23:42 2018 (700 ms) | general | Want to use largest window that fits on screen.
L4 | Sun Apr 29 15:23:42 2018 (700 ms) | general | Largest-window mode would offer a <25width increase, using requested window size instead.
L4 | Sun Apr 29 15:23:42 2018 (700 ms) | general | Screen dimensions for largest-window mode:  1280x720

